src_ip,dst_ip,Count,Percentage
192.168.69.197,192.168.69.206,177,41.067285382830626
192.168.69.206,192.168.69.197,146,33.874709976798144
157.240.192.55,192.168.69.197,29,6.728538283062645
192.168.69.197,157.240.192.55,21,4.872389791183294
192.168.69.197,52.156.123.84,13,3.0162412993039442
52.156.123.84,192.168.69.197,9,2.088167053364269
192.168.69.197,43.175.154.11,6,1.3921113689095126
192.168.69.197,173.230.134.104,6,1.3921113689095126
43.175.154.11,192.168.69.197,6,1.3921113689095126
192.168.69.197,239.255.255.250,4,0.9280742459396751
192.168.69.197,20.44.229.112,3,0.6960556844547563
173.230.134.104,192.168.69.197,3,0.6960556844547563
192.168.69.197,20.191.127.184,2,0.46403712296983757
192.168.69.197,23.200.238.155,2,0.46403712296983757
192.168.69.197,13.68.233.9,1,0.23201856148491878
20.191.127.184,192.168.69.197,1,0.23201856148491878
20.44.229.112,192.168.69.197,1,0.23201856148491878
23.200.238.155,192.168.69.197,1,0.23201856148491878
